,_runtime,_step,_timestamp,_wandb,lr_group_0,train_loss,val_accuracy,val_loss,lr,betas,epochs,base_lr,batch_size,wandb_name,fix_embed_lr,lr_scheduler,weight_decay,collect_norms,wandb_project,fix_weight_decay,max_steps_per_epoch,lr_scheduler_warmup_frac,name,best_val_loss,best_train_loss,muP,dim
145,170.176416627,2930,1731403198.138979,{'runtime': 170},0.0,3.8835933208465576,0.23567087948322296,5.4622063636779785,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,5.433200359344482,3.5427262783050537,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,256
146,169.745786025,2930,1731403275.824624,{'runtime': 169},0.0,3.90883731842041,0.2286947071552277,5.588626861572266,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.00390625,5.5170817375183105,3.568225622177124,muP,256
147,170.134557418,2930,1731403316.9571502,{'runtime': 170},0.0,4.070240497589111,0.23272159695625305,5.474515914916992,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,5.449068546295166,3.5701637268066406,muP+fixRMS+fixEmbedLR+fixUnembed,256
148,167.232858854,2930,1731403338.4290516,{'runtime': 167},0.0,3.841270685195923,0.23436638712882996,5.462742328643799,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.00390625,5.436797142028809,3.552237033843994,muP+fixRMS+fixEmbedLR,256
149,1393.506928419,2930,1731404569.8139155,{'runtime': 1393},0.0009765625,6.104002475738525,0.15303435921669006,6.412483215332031,0.0009765625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_std_lr_0.0009765625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_std_lr_0.0009765625,6.375230312347412,5.6718621253967285,std no scheduler,2048
150,287.974942694,2930,1731403510.0531178,{'runtime': 287},0.0,3.85101318359375,0.24129800498485565,5.3989691734313965,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,5.356687545776367,3.2829670906066895,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,512
151,167.604907198,2930,1731403447.2476952,{'runtime': 167},0.0,3.731736660003662,0.23497407138347623,5.450119495391846,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS_lr_0.00390625,5.424350261688232,3.5354552268981934,muP+fixRMS,256
152,286.471011349,2930,1731403584.471798,{'runtime': 286},0.0,4.2240142822265625,0.2318708449602127,5.499089241027832,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.00390625,5.453036308288574,3.4550740718841553,muP,512
153,589.446970601,2930,1731403925.3817978,{'runtime': 589},0.0009765625,3.9579885005950928,0.23372630774974823,5.472161293029785,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.00390625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.00390625,5.472161293029785,3.7630679607391357,muP no scheduler,1024
154,286.83695528,2930,1731403626.5773735,{'runtime': 286},0.0,3.4798717498779297,0.2397828549146652,5.402637004852295,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,5.366881847381592,3.2931065559387207,muP+fixRMS+fixEmbedLR+fixUnembed,512
155,282.509174345,2930,1731403643.239364,{'runtime': 282},0.0,3.9511759281158447,0.2403702735900879,5.352393627166748,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.00390625,5.330092906951904,3.4800503253936768,muP+fixRMS+fixEmbedLR,512
156,284.82026578,2930,1731403754.8102102,{'runtime': 284},0.0,4.406264305114746,0.2322557121515274,5.418457508087158,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS_lr_0.00390625,5.39614725112915,3.748534917831421,muP+fixRMS,512
157,591.873850708,2930,1731404125.5727718,{'runtime': 591},0.0,3.569312810897827,0.23919138312339783,5.412990570068359,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,5.365849494934082,3.3216636180877686,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,1024
158,584.046729135,2930,1731404193.0328426,{'runtime': 584},0.0,3.6406188011169434,0.2370077818632126,5.409268379211426,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.00390625,5.394031524658203,3.6021783351898193,muP,1024
159,588.269946771,2930,1731404238.7105176,{'runtime': 588},0.0,3.635640382766723,0.238903746008873,5.417268753051758,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,5.37001371383667,3.2087628841400146,muP+fixRMS+fixEmbedLR+fixUnembed,1024
160,573.990309119,2930,1731404241.6300983,{'runtime': 573},0.0,4.38923454284668,0.23814617097377777,5.361239910125732,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.00390625,5.3401970863342285,3.682377576828003,muP+fixRMS+fixEmbedLR,1024
161,580.630687727,2930,1731404358.8091292,{'runtime': 580},0.0,4.201989650726318,0.2367566078901291,5.371915817260742,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS_lr_0.00390625,5.355263710021973,3.8390920162200928,muP+fixRMS,1024
162,1400.336149493,2930,1731405353.975942,{'runtime': 1400},0.00048828125,4.026668071746826,0.24090099334716797,5.378096580505371,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.00390625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.00390625,5.3411970138549805,3.5366878509521484,muP no scheduler,2048
163,1420.626020207,2930,1731405572.7616498,{'runtime': 1420},0.0,3.421175718307495,0.2444741576910019,5.342121601104736,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00390625,5.298867702484131,3.106013774871826,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,2048
164,1395.902959877,2930,1731405613.839198,{'runtime': 1395},0.0,4.040491104125977,0.24249310791492465,5.3035688400268555,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.00390625,5.294151306152344,3.6139297485351562,muP,2048
165,1411.79862392,2930,1731405675.0008297,{'runtime': 1411},0.0,3.728212594985962,0.2420920431613922,5.361530780792236,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.00390625,5.323919296264648,3.1434311866760254,muP+fixRMS+fixEmbedLR+fixUnembed,2048
166,1376.804962582,2930,1731405643.0616436,{'runtime': 1376},0.0,4.023852348327637,0.23895235359668732,5.342705726623535,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.00390625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.00390625,5.317510604858398,3.759047269821167,muP+fixRMS+fixEmbedLR,2048
167,1392.178580023,2930,1731405776.5223432,{'runtime': 1392},0.0,4.1360392570495605,0.23723870515823364,5.394293785095215,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS_lr_0.00390625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS_lr_0.00390625,5.377620697021484,4.125914573669434,muP+fixRMS,2048
168,171.576152303,2930,1731404764.5362532,{'runtime': 171},0.001953125,4.201969146728516,0.2320896089076996,5.48970890045166,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_std_lr_0.001953125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_std_lr_0.001953125,5.481905937194824,3.9297068119049072,std no scheduler,256
169,288.407088467,2930,1731405075.8924284,{'runtime': 288},0.001953125,5.918183326721191,0.15261302888393402,6.364199638366699,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_std_lr_0.001953125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_std_lr_0.001953125,6.361796855926514,5.559577941894531,std no scheduler,512
